,,,,Type,,Date,,Num,,Account,,Amount,,Balance
,,,,Invoice,,05/20/2026,,24548,,11000 · Accounts Receivable,,"1,606.76",,"12,951.08"
,,,,Invoice,,05/20/2026,,24547,,11000 · Accounts Receivable,,"1,115.81",,"14,066.89"
,,,,Invoice,,05/29/2026,,24574,,11000 · Accounts Receivable,,"12,559.05",,"26,625.94"
,,,,Invoice,,05/31/2026,,24560,,11000 · Accounts Receivable,,"12,700.46",,"39,326.40"
,,,,Invoice,,05/31/2026,,24598,,11000 · Accounts Receivable,,"21,072.88",,"60,399.28"
,,,,Invoice,,05/31/2026,,24513,,11000 · Accounts Receivable,,"2,733.75",,"63,133.03"
,,,,Invoice,,05/31/2026,,24599,,11000 · Accounts Receivable,,"2,326.45",,"65,459.48"
,,,,Invoice,,05/31/2026,,24438,,11000 · Accounts Receivable,,"1,822.91",,"67,282.39"
,,,,Invoice,,05/31/2026,,24609,,11000 · Accounts Receivable,,"6,371.76",,"73,654.15"
,,,,Invoice,,05/31/2026,,24621,,11000 · Accounts Receivable,,716.60,,"74,370.75"
,Total Nicor Gas-,,,,,,,,,,,"7,410.77",,"74,370.75"
,NICOR NIPPLES,,,,,,,,,,,,,0.00
,,,,Invoice,,05/20/2026,,24473,,11000 · Accounts Receivable,,"9,256.49",,"9,256.49"
,,,,Invoice,,05/20/2026,,24425,,11000 · Accounts Receivable,,"6,441.22",,"15,697.71"
,,,,Invoice,,05/20/2026,,24525,,11000 · Accounts Receivable,,"4,477.84",,"20,175.55"
,,,,Invoice,,05/20/2026,,24526,,11000 · Accounts Receivable,,"8,749.25",,"28,924.80"
,,,,Invoice,,05/20/2026,,24426,,11000 · Accounts Receivable,,"13,805.54",,"42,730.34"
,,,,Invoice,,05/31/2026,,24549,,11000 · Accounts Receivable,,"25,877.85",,"68,608.19"
,,,,Invoice,,05/31/2026,,24546,,11000 · Accounts Receivable,,"13,133.18",,"81,741.37"
,Total NICOR NIPPLES,,,,,,,,,,,"81,741.37",,"81,741.37"
,Old System,,,,,,,,,,,,,0.00
,Total Old System,,,,,,,,,,,,,0.00
,Olympic,,,,,,,,,,,,,0.00
,Total Olympic,,,,,,,,,,,,,0.00
,Profasts - Hill,,,,,,,,,,,,,0.00
,Total Profasts - Hill,,,,,,,,,,,,,0.00
,RTC Supply Corporation,,,,,,,,,,,,,0.00
,Total RTC Supply Corporation,,,,,,,,,,,,,0.00
,Superior Mechanical Systems,,,,,,,,,,,,,0.00
,Total Superior Mechanical Systems,,,,,,,,,,,,,0.00
,TPC Fire Protection,,,,,,,,,,,,,0.00
,Total TPC Fire Protection,,,,,,,,,,,,,0.00
,United States Fire Protection/ Alliance,,,,,,,,,,,,,0.00
,Total United States Fire Protection/ Alliance,,,,,,,,,,,,,0.00
,Valley Fire,,,,,,,,,,,,,0.00
,Total Valley Fire,,,,,,,,,,,,,0.00
TOTAL,,,,,,,,,,,,"80,869.46",,"609,772.89"
,,,,,,,,,,,,,,
