,,,Type,,Date,,Num,,P. O. #,,Name,,Terms,,Due Date,,Aging,,Open Balance
Current,,,,,,,,,,,,,,,,,,,
,,,Invoice,,05/28/2026,,24613,,306209000047,,F.E. Moran Inc.,,"5% 30, Net 45",,07/12/2026,,3,,"4,442.57"
,,,Invoice,,05/28/2026,,24627,,3221005699,,F.E. Moran Inc.,,"5% 30, Net 45",,07/12/2026,,3,,"14,706.23"
,,,Invoice,,05/29/2026,,24574,,NGC84803-0505,,Nicor Gas-,,"2% 15, Net 30",,06/28/2026,,2,,"12,559.05"
,,,Invoice,,05/29/2026,,24605,,CFP24-0755,,Alpha Fire  - Chicago Fire,,Net 30,,06/28/2026,,2,,"91,424.33"
,,,Invoice,,05/29/2026,,24618,,33963015,,HILL,,"5% 30, Net 45",,07/13/2026,,2,,390.21
,,,Invoice,,05/29/2026,,24630,,31612136,,HILL,,"5% 30, Net 45",,07/13/2026,,2,,381.06
,,,Invoice,,05/29/2026,,24232,,31612125,,HILL,,"5% 30, Net 45",,07/13/2026,,2,,"5,848.29"
,,,Invoice,,05/29/2026,,24628,,CFP24-0755,,Alpha Fire  - Chicago Fire,,Net 30,,06/28/2026,,2,,358.32
,,,Invoice,,05/29/2026,,24632,,CFP24-2067,,"Chicago Fire Protection, LLC",,"5% 30, Net 45",,07/13/2026,,2,,318.54
,,,Invoice,,05/29/2026,,24634,,STOCK,,"Chicago Fire Protection, LLC",,"5% 30, Net 45",,07/13/2026,,2,,"5,632.09"
,,,Invoice,,05/29/2026,,24633,,CFP26-0911,,"Chicago Fire Protection, LLC",,"5% 30, Net 45",,07/13/2026,,2,,929.79
Total 1 - 30,,,,,,,,,,,,,,,,,,,"377,971.14"
31 - 60,,,,,,,,,,,,,,,,,,,
,,,Invoice,,04/01/2026,,24344,,NGC84803-0484,,Nicor Gas-,,"2% 15, Net 30",,05/01/2026,,60,,"2,506.72"
,,,Invoice,,04/01/2026,,24417,,NGC84803-0489,,Nicor Gas-,,"2% 15, Net 30",,05/01/2026,,60,,442.36
,,,Invoice,,04/06/2026,,24450,,111516-39877,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,05/21/2026,,55,,"1,093.46"
,,,Invoice,,04/06/2026,,24455,,111582-39844,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,05/21/2026,,55,,281.52
,,,Invoice,,04/06/2026,,24454,,111585-16311,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,05/21/2026,,55,,584.05
,,,Invoice,,04/06/2026,,24453,,3221005639,,F.E. Moran Inc.,,"5% 30, Net 45",,05/21/2026,,55,,"16,718.46"
,,,Invoice,,04/07/2026,,24451,,302505010070,,F.E. Moran Inc.,,"5% 30, Net 45",,05/22/2026,,54,,"5,607.91"
,,,Invoice,,04/08/2026,,24459D,,111605,,Great Lakes Plumbing & Heating  Co.,,Net 30,,05/08/2026,,53,,"1,381.87"
,,,Invoice,,04/08/2026,,24464,,111678-39871,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,05/23/2026,,53,,234.56
,,,Invoice,,04/09/2026,,24461,,306371000003,,F.E. Moran Inc.,,"5% 30, Net 45",,05/24/2026,,52,,"1,134.53"
,,,Invoice,,04/10/2026,,24476,,111712-39609,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,05/25/2026,,51,,"2,205.36"
